hex,confTime,timeGuessed
09dbead4f185e7ecfc6138f7186ec9233a01e86c65b39abc97ad8bc699d621e9,3.009843826,2
0235298a5ccc0c52ca24343b3fed988b11602f1348721fa25edb5f4ea540e9a6,13.00527167,4
0db00718650fd38f0a2402b9fc7d2da8fdc9d818ec3cbc4fec746ed83a0500b0,2.002706766,1
1628e107773c273d5509e2051386207d1b75f1dc3a97e6e4844e132837fae396,7.01181531,4
00553f1196f79fbbd3734c81b526d7f229550ca19273315dcdb2f229d9ed59a4,4.006925821,2
184100b447964b89414e3ca6509be8e82eb0822096d743f379384c780875ad57,8.004875183,2
109605b9bd377f6c636831a2a8a5c6f397e5887c28c3071688413a15388066c2,1.001817465,1
028dbfb8919c6f315902c85bc9a82c28f428e01864b1861130ca3cd382d91f39,7.003898621,2
22167355cff64913077bb69aa8a1ca4d7f80442050d5c18a08598b2f0fa17d93,3.007490873,3
02bc3266b46d13345528a108c7116d090768e88e72a9ffc7af6c11383cede396,6.008998871,1
33c988ea80602e087334493bb196404fc40526b10506a18046c64e91b1bed8d0,3.00274086,1
215fcffe4dc739d2f698bfaac101f65af50ec2e63547779f1a2b2c3a7d16bc6f,3.005039454,2
0ee4074b0579a4d140a93889192f15f8e711faa4218e2bac2886c4fba1c5048b,3.003121138,1
032ed9c0285ca06a899cd19de6b35f5b91beddfcae97a39493bd072b91dc93dd,7.008808613,2
2694fa3732b5835c1e1decd56e80e8f56b632bbb0458037daa4ba58edd5d3080,2.001288176,1
